customer_id,lead_date,acquisition_channel,channel_type,region,device,age_group,signup_date,verified_date,first_conversion_date,plan_tier
C100000,2024-05-03,Referral,Organic,Singapore,Desktop,35-44,2024-05-06,2024-05-07,,Not Converted
C100001,2025-10-28,Referral,Organic,India,Desktop,35-44,2025-10-30,,,Not Converted
C100002,2024-09-23,Direct,Organic,India,Desktop,35-44,,,,Not Converted
C100003,2024-05-16,LinkedIn Ads,Paid,United States,Mobile,35-44,2024-05-17,,,Not Converted
C100004,2025-04-14,Referral,Organic,India,Desktop,18-24,2025-04-17,2025-04-17,,Not Converted
C100005,2025-05-27,Referral,Organic,India,Desktop,25-34,2025-05-27,2025-05-29,,Not Converted
C100006,2025-08-25,Organic Search,Organic,India,Desktop,25-34,2025-08-28,2025-08-28,,Not Converted
C100007,2025-05-29,Organic Search,Organic,India,Mobile,18-24,2025-05-31,2025-06-01,,Not Converted
C100008,2025-05-27,Meta Ads,Paid,United States,Mobile,18-24,2025-05-28,,,Not Converted
C100009,2025-03-18,Referral,Organic,United States,Mobile,18-24,,,,Not Converted
C100010,2024-03-26,LinkedIn Ads,Paid,UAE,Desktop,35-44,2024-03-29,2024-03-29,,Not Converted
C100011,2024-09-06,Google Ads,Paid,India,Mobile,35-44,2024-09-08,,,Not Converted
C100012,2024-07-23,Organic Search,Organic,United States,Desktop,18-24,2024-07-25,,,Not Converted
C100013,2024-05-04,Organic Search,Organic,United States,Mobile,45-54,,,,Not Converted
C100014,2024-12-04,Google Ads,Paid,United Kingdom,Desktop,35-44,2024-12-05,,,Not Converted
C100015,2024-03-05,Meta Ads,Paid,UAE,Mobile,55+,2024-03-07,2024-03-08,,Not Converted
C100016,2025-09-16,Meta Ads,Paid,United Kingdom,Desktop,45-54,2025-09-17,,,Not Converted
C100017,2024-12-15,Referral,Organic,Singapore,Mobile,18-24,,,,Not Converted
C100018,2025-08-23,Meta Ads,Paid,United Kingdom,Tablet,25-34,2025-08-24,2025-08-24,2025-08-29,Business
C100019,2025-10-09,Google Ads,Paid,UAE,Desktop,35-44,2025-10-10,,,Not Converted
C100020,2024-10-10,LinkedIn Ads,Paid,India,Desktop,18-24,2024-10-10,2024-10-12,2024-10-15,Pro
C100021,2025-10-07,Direct,Organic,UAE,Mobile,18-24,,,,Not Converted
C100022,2024-06-15,Referral,Organic,United States,Mobile,25-34,2024-06-15,2024-06-16,2024-06-27,Pro
C100023,2025-12-05,Referral,Organic,India,Desktop,25-34,2025-12-05,,,Not Converted
C100024,2025-10-09,Meta Ads,Paid,India,Mobile,18-24,,,,Not Converted
C100025,2025-03-23,Referral,Organic,UAE,Mobile,25-34,2025-03-23,2025-03-23,2025-03-29,Pro
C100026,2024-07-02,Organic Search,Organic,India,Desktop,45-54,,,,Not Converted
C100027,2025-06-08,Referral,Organic,United States,Mobile,45-54,2025-06-08,2025-06-10,2025-06-23,Pro
C100028,2025-11-27,Organic Search,Organic,India,Mobile,35-44,2025-11-30,,,Not Converted
C100029,2024-11-28,Organic Search,Organic,UAE,Mobile,35-44,2024-12-01,2024-12-01,,Not Converted
C100030,2024-11-11,Direct,Organic,India,Desktop,18-24,,,,Not Converted
C100031,2025-10-28,Referral,Organic,India,Desktop,18-24,2025-10-28,2025-10-28,,Not Converted
C100032,2025-02-09,Organic Search,Organic,United States,Desktop,18-24,2025-02-11,2025-02-12,2025-02-26,Free
C100033,2025-06-12,Referral,Organic,India,Mobile,18-24,2025-06-12,2025-06-14,2025-06-17,Business
C100034,2025-04-06,Direct,Organic,United Kingdom,Tablet,18-24,,,,Not Converted
C100035,2024-04-15,Organic Search,Organic,United States,Desktop,25-34,2024-04-17,2024-04-17,,Not Converted
C100036,2024-12-25,Referral,Organic,Singapore,Desktop,35-44,2024-12-26,,,Not Converted
C100037,2024-09-27,Google Ads,Paid,Singapore,Desktop,18-24,2024-09-27,2024-09-27,,Not Converted
C100038,2024-01-16,Meta Ads,Paid,United Kingdom,Desktop,45-54,2024-01-17,2024-01-17,,Not Converted
C100039,2025-07-12,Referral,Organic,India,Mobile,35-44,,,,Not Converted
C100040,2025-02-12,Organic Search,Organic,United Kingdom,Mobile,18-24,2025-02-13,2025-02-15,,Not Converted
C100041,2024-10-02,Organic Search,Organic,United States,Desktop,35-44,,,,Not Converted
C100042,2024-06-01,Google Ads,Paid,India,Mobile,25-34,2024-06-04,2024-06-05,,Not Converted
C100043,2024-12-31,LinkedIn Ads,Paid,India,Mobile,25-34,2025-01-01,2025-01-02,,Not Converted
C100044,2024-12-15,Referral,Organic,United States,Mobile,25-34,2024-12-17,,,Not Converted
C100045,2024-11-23,Organic Search,Organic,United States,Mobile,18-24,,,,Not Converted
C100046,2025-03-24,Google Ads,Paid,United Kingdom,Mobile,45-54,,,,Not Converted
C100047,2025-12-07,LinkedIn Ads,Paid,Singapore,Tablet,35-44,2025-12-10,2025-12-10,2025-12-25,Business
C100048,2025-03-07,Google Ads,Paid,UAE,Tablet,25-34,,,,Not Converted
C100049,2025-05-06,Direct,Organic,United Kingdom,Mobile,25-34,2025-05-07,,,Not Converted
C100050,2024-08-07,Google Ads,Paid,United States,Mobile,25-34,,,,Not Converted
C100051,2025-03-11,Organic Search,Organic,India,Mobile,25-34,,,,Not Converted
C100052,2025-05-07,Organic Search,Organic,United States,Desktop,25-34,2025-05-07,2025-05-08,2025-05-11,Free
C100053,2024-07-01,Organic Search,Organic,Singapore,Mobile,25-34,2024-07-03,2024-07-03,,Not Converted
C100054,2024-02-29,Organic Search,Organic,Singapore,Desktop,55+,,,,Not Converted
C100055,2025-11-10,Direct,Organic,United Kingdom,Tablet,55+,2025-11-13,2025-11-15,2025-11-16,Pro
C100056,2024-10-24,Referral,Organic,India,Desktop,18-24,2024-10-24,2024-10-24,,Not Converted
C100057,2024-11-05,Google Ads,Paid,United Kingdom,Desktop,45-54,,,,Not Converted
C100058,2024-09-04,Referral,Organic,India,Mobile,35-44,2024-09-07,2024-09-09,,Not Converted
C100059,2024-01-04,Meta Ads,Paid,United States,Mobile,25-34,,,,Not Converted
C100060,2025-12-01,Meta Ads,Paid,Singapore,Mobile,25-34,2025-12-04,2025-12-04,,Not Converted
C100061,2024-07-15,Organic Search,Organic,India,Mobile,25-34,2024-07-18,2024-07-20,2024-08-02,Pro
C100062,2025-05-11,Direct,Organic,India,Mobile,45-54,2025-05-14,2025-05-16,,Not Converted
C100063,2024-05-17,LinkedIn Ads,Paid,India,Mobile,35-44,,,,Not Converted
C100064,2025-08-20,LinkedIn Ads,Paid,Singapore,Desktop,25-34,2025-08-21,2025-08-21,,Not Converted
C100065,2025-12-26,Organic Search,Organic,India,Mobile,18-24,2025-12-27,2025-12-28,2026-01-15,Pro
C100066,2024-06-19,Google Ads,Paid,India,Mobile,18-24,,,,Not Converted
C100067,2025-11-12,Google Ads,Paid,UAE,Desktop,25-34,2025-11-12,2025-11-14,,Not Converted
C100068,2025-10-18,Meta Ads,Paid,United Kingdom,Mobile,18-24,2025-10-19,,,Not Converted
C100069,2025-12-11,Google Ads,Paid,India,Mobile,35-44,,,,Not Converted
C100070,2025-04-16,Google Ads,Paid,UAE,Mobile,45-54,2025-04-19,,,Not Converted
C100071,2024-06-18,LinkedIn Ads,Paid,India,Mobile,25-34,2024-06-20,2024-06-22,2024-06-29,Pro
C100072,2025-03-13,Referral,Organic,United States,Mobile,18-24,2025-03-13,2025-03-13,,Not Converted
C100073,2024-09-28,Google Ads,Paid,UAE,Desktop,25-34,,,,Not Converted
C100074,2024-08-02,Meta Ads,Paid,UAE,Mobile,35-44,2024-08-05,2024-08-07,,Not Converted
C100075,2024-10-08,Organic Search,Organic,United Kingdom,Tablet,25-34,2024-10-11,2024-10-11,,Not Converted
