customer_id,month,plan_tier,mrr,acquisition_channel,channel_type,region,cohort_month
C100018,2025-08-01,Business,99.0,Meta Ads,Paid,United Kingdom,2025-08-01
C100018,2025-09-01,Business,99.0,Meta Ads,Paid,United Kingdom,2025-08-01
C100018,2025-10-01,Business,99.0,Meta Ads,Paid,United Kingdom,2025-08-01
C100018,2025-11-01,Business,99.0,Meta Ads,Paid,United Kingdom,2025-08-01
C100020,2024-10-01,Pro,29.0,LinkedIn Ads,Paid,India,2024-10-01
C100020,2024-11-01,Pro,29.0,LinkedIn Ads,Paid,India,2024-10-01
C100022,2024-06-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2024-07-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2024-08-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2024-09-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2024-10-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2024-11-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2024-12-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2025-01-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2025-02-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2025-03-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2025-04-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2025-05-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2025-06-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2025-07-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2025-08-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2025-09-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2025-10-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2025-11-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2025-12-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100022,2026-01-01,Pro,29.0,Referral,Organic,United States,2024-06-01
C100025,2025-03-01,Pro,29.0,Referral,Organic,UAE,2025-03-01
C100025,2025-04-01,Pro,29.0,Referral,Organic,UAE,2025-03-01
C100025,2025-05-01,Pro,29.0,Referral,Organic,UAE,2025-03-01
C100025,2025-06-01,Pro,29.0,Referral,Organic,UAE,2025-03-01
C100025,2025-07-01,Pro,29.0,Referral,Organic,UAE,2025-03-01
C100025,2025-08-01,Pro,29.0,Referral,Organic,UAE,2025-03-01
C100025,2025-09-01,Pro,29.0,Referral,Organic,UAE,2025-03-01
C100025,2025-10-01,Pro,29.0,Referral,Organic,UAE,2025-03-01
C100025,2025-11-01,Pro,29.0,Referral,Organic,UAE,2025-03-01
C100025,2025-12-01,Pro,29.0,Referral,Organic,UAE,2025-03-01
C100025,2026-01-01,Pro,29.0,Referral,Organic,UAE,2025-03-01
C100027,2025-06-01,Pro,29.0,Referral,Organic,United States,2025-06-01
C100027,2025-07-01,Pro,29.0,Referral,Organic,United States,2025-06-01
C100027,2025-08-01,Pro,29.0,Referral,Organic,United States,2025-06-01
C100027,2025-09-01,Pro,29.0,Referral,Organic,United States,2025-06-01
C100027,2025-10-01,Pro,29.0,Referral,Organic,United States,2025-06-01
C100027,2025-11-01,Pro,29.0,Referral,Organic,United States,2025-06-01
C100027,2025-12-01,Pro,29.0,Referral,Organic,United States,2025-06-01
C100027,2026-01-01,Pro,29.0,Referral,Organic,United States,2025-06-01
C100032,2025-02-01,Free,0.0,Organic Search,Organic,United States,2025-02-01
C100033,2025-06-01,Business,99.0,Referral,Organic,India,2025-06-01
C100033,2025-07-01,Business,99.0,Referral,Organic,India,2025-06-01
C100033,2025-08-01,Business,99.0,Referral,Organic,India,2025-06-01
C100033,2025-09-01,Business,99.0,Referral,Organic,India,2025-06-01
C100033,2025-10-01,Business,99.0,Referral,Organic,India,2025-06-01
C100033,2025-11-01,Business,99.0,Referral,Organic,India,2025-06-01
C100033,2025-12-01,Business,99.0,Referral,Organic,India,2025-06-01
C100033,2026-01-01,Business,99.0,Referral,Organic,India,2025-06-01
C100047,2025-12-01,Business,99.0,LinkedIn Ads,Paid,Singapore,2025-12-01
C100047,2026-01-01,Business,99.0,LinkedIn Ads,Paid,Singapore,2025-12-01
C100052,2025-05-01,Free,0.0,Organic Search,Organic,United States,2025-05-01
C100052,2025-06-01,Free,0.0,Organic Search,Organic,United States,2025-05-01
C100052,2025-07-01,Free,0.0,Organic Search,Organic,United States,2025-05-01
C100052,2025-08-01,Free,0.0,Organic Search,Organic,United States,2025-05-01
C100052,2025-09-01,Free,0.0,Organic Search,Organic,United States,2025-05-01
C100052,2025-10-01,Free,0.0,Organic Search,Organic,United States,2025-05-01
C100052,2025-11-01,Free,0.0,Organic Search,Organic,United States,2025-05-01
C100052,2025-12-01,Free,0.0,Organic Search,Organic,United States,2025-05-01
C100052,2026-01-01,Free,0.0,Organic Search,Organic,United States,2025-05-01
